,,head90,head180,headEst
rider,poseFile,com2bbMean,,
Jason,aero (Left).pose,-94.76134513,-103.1037697,-98.68883077
Jason,aero 1 (Left).pose,-47.88437361,-39.541949,-49.36350862
Jason,aero 2 (Left).pose,-94.77228375,-103.1147084,-98.70103412
Jason,aero 2 (Right).pose,-76.80989375,-85.15231836,-79.99101768
Jason,drops (Left).pose,-46.78410761,-55.12653222,-50.17164047
Jason,drops (Right).pose,-46.6000824,-54.94250701,-48.93232051
Jason,drops 2 (Left) rotated.pose,8.583435521,0.241010911,9.755440824
Jason,drops 2 (Left).pose,-8.583435521,-0.241010911,-9.755440824
Jason,drops 3 (Left).pose,-54.0868487,-62.42927331,-57.42744259
Jason,hoods (Left).pose,-31.40638852,-39.74881313,-34.40585685
Jason,hoods 1 (Right).pose,-26.2697077,-34.61213231,-27.68990551
Jason,hoods 2 (Left).pose,-34.46158813,-42.80401274,-37.48580753
Jason,hoods 2 (Right).pose,-30.55885129,-38.9012759,-32.02897607